,,,,,,
New Vocab - ECHOES resource types - draft before ingest into Vocabs Editor for further work,,,,,,
,,,,,,
,"singular and not capitalised 
if multiple occurences, keep the term but keep blanks for the definitions ","cleaned terms (de-capitalized, etc.)",defintion from (URI) - exact match for which we copy the definition,"literal definition with source into bracket. If homemade definition, no quote. If existing def, quotes and source into brackets",other close match definitions - adding URIs with seperator ; when several,comments
Semantic Resource,,semantic resource,,"""machine-actionable formalisation (represented using appropriate formats and serialisations, including RDF and non-RDF standards) of a conceptualisation, enabling sharing and reuse by humans and machines."" (Corcho, O., Ekaputra, F.J., Heibi, I. et al. A maturity model for catalogues of semantic artefacts. Sci Data 11, 479 (2024). https://doi.org/10.1038/s41597-024-03185-4, p.2)",,
,Metadata schema,metadata schema,,"""Resources for defining and organising metadata elements by specifying their attributes, relationships, and usage rules. They are essential to
ensure consistency in describing and managing resources across different
systems."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p. 11)",,
,Ontology,ontology,,"""Resources for formalising knowledge within a specific domain by
defining concepts, entities, their attributes and their interrelations. They enable a
shared understanding across systems, supporting semantic integration and
interoperability."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11)",,
,Vocabulary,vocabulary,,"""Set of terms or concepts used within a specific domain, often
accompanied by definitions or descriptions. They serve as basic resources for
consistent communication and understanding in specific domains, without
necessarily organising the terms into hierarchical or relational structures."" ( Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11)",,
,Thesaurus,thesaurus,,"""Structured, controlled vocabularies where terms are not only defined
but also interconnected through relationships such as synonyms, broader terms
(BT), narrower terms (NT), and related terms (RT). Unlike a simple vocabulary, a
thesaurus provides a semantic network that enables users to navigate concepts
systematically and supports advanced information retrieval by highlighting
connections between terms."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11) ",,
,Gazetteer,gazetteer,,"""Resources that function as geographical dictionaries or directories,
containing information about place names and their corresponding coordinates or
attributes. They support geospatial data management and enable the integration
of geographic information into digital systems."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11) ",,
,Model,model,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#model,"""An abstract, conceptual, graphical, mathematical or visualization model that represents empirical objects, phenomena, or physical processes."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#model)","http://semanticscience.org/resource/SIO_000510 ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml ; https://id.loc.gov/vocabulary/marcgt/mod.html
","4 different sources: http://semanticscience.org/resource/SIO_000510 ; information applies to a copy or imitation of an existing or hypothetical object (https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml) ; https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#model ; https://id.loc.gov/vocabulary/marcgt/mod.html => choice DataCite. Most relevant

In Tab ""FAIRSharing OSTrails: ""narrowerMatch: semantic-artefact"""
,Schema,schema,https://ontome.net/class/1140/namespace/216,"""This class is used to document instances of data structures, including
formal ontologies that are used to configure the behavior of software."" (https://cidoc-crm.org/sites/default/files/Parthenos%20Entities%20Model%20Description%20v%203.1.pdf )",,pem:PE38_Schema [resolve the namespace]
Service,,service,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#service,"""An organized system of apparatus, appliances, staff, etc., for supplying some function(s) required by end users."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#service)",http://purl.org/dc/dcmitype/Service ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml ; https://ontome.net/class/1108/namespace/216#summary,
